task,dataset,model,group,value,n,auroc,auroc_lo,auroc_hi,bacc,f1_pos,acc,brier
IID,MMASD,logreg,sex,M,75,0.6941678520625888,0.5733333333333334,0.8482142857142857,0.635846372688478,0.7272727272727273,0.64,0.23314734585783417
IID,MMASD,logreg,sex,nan,67,0.6524064171122995,0.4722222222222222,0.7294372294372296,0.6671122994652406,0.75,0.6716417910447762,0.2504257313116751
IID,MMASD,xgb,sex,M,75,0.6984352773826457,0.6155555555555555,0.875,0.6081081081081081,0.7238095238095238,0.6133333333333333,0.23125361713520012
IID,MMASD,xgb,sex,nan,67,0.7393048128342246,0.7348484848484849,0.763888888888889,0.6836007130124777,0.7407407407407407,0.6865671641791045,0.21356494919028995
LODO,Engagnition->MMASD,logreg,sex,M,75,0.5,0.5,0.5,0.5,0.672566371681416,0.5066666666666667,0.28
LODO,Engagnition->MMASD,logreg,sex,nan,67,0.5,0.5,0.5,0.5,0.6732673267326733,0.5074626865671642,0.2802653399668325
LODO,Engagnition->MMASD,xgb,sex,M,75,0.5,0.5,0.5,0.5,0.672566371681416,0.5066666666666667,0.24995998779859344
LODO,Engagnition->MMASD,xgb,sex,nan,67,0.5,0.5,0.5,0.5,0.6732673267326733,0.5074626865671642,0.24994602249556147
