task,dataset,model,split,n_train,n_test,thr,cv_auroc,cv_bacc,cv_f1_pos,cv_acc,cv_brier,test_auroc,test_bacc,test_f1_pos,test_acc,test_brier,test_auroc_ci_low,test_auroc_ci_high
IID,MMASD,logreg,holdout,1232,142,0.3195842724858306,0.6959136231013133,0.6106898396708548,0.6948717948717948,0.6136363636363636,0.2220123445247548,0.6340277777777779,0.5523809523809524,0.6557377049180327,0.5563380281690141,0.24129982350154783,0.5760504201680672,0.7440476190476191
IID,MMASD,xgb,holdout,1232,142,0.34072098143311563,0.73931292780576,0.643401413258058,0.7157757496740548,0.6461038961038961,0.20751280060812727,0.6925595238095238,0.6436507936507936,0.7311827956989247,0.647887323943662,0.2229075554992214,0.6610671936758893,0.7708333333333333
IID,Engagnition,logreg,cv,57,0,0.24502406814257865,0.6373152709359605,0.4144088669950739,0.5822784810126582,0.42105263157894735,0.276557437748184,,,,,,,
IID,Engagnition,xgb,cv,57,0,0.5083905458450317,0.32081280788177335,0.34913793103448276,0.4126984126984127,0.3508771929824561,0.26540722650091314,,,,,,,
LODO,MMASD->Engagnition,logreg,transfer,1374,57,0.32742549571749574,0.6787626746908806,0.5747226666384124,0.6854970124932103,0.5786026200873362,0.2279323294938356,0.5,0.5,0.6744186046511628,0.5087719298245614,0.250059057899016,0.5,0.5
LODO,MMASD->Engagnition,xgb,transfer,1374,57,0.37736589670797366,0.7265053347601742,0.6581462370604253,0.7111935683364254,0.6601164483260553,0.21203187191882783,0.49630541871921174,0.5,0.6744186046511628,0.5087719298245614,0.2663301016421978,0.39784585531655847,0.6007878151260503
LODO,Engagnition->MMASD,logreg,transfer,57,142,0.24502406814257865,0.6373152709359605,0.4144088669950739,0.5822784810126582,0.42105263157894735,0.276557437748184,0.5,0.5,0.6728971962616822,0.5070422535211268,0.2801251956181534,0.5,0.5
LODO,Engagnition->MMASD,xgb,transfer,57,142,0.5083905458450317,0.32081280788177335,0.34913793103448276,0.4126984126984127,0.3508771929824561,0.26540722650091314,0.5,0.5,0.6728971962616822,0.5070422535211268,0.24995339853589527,0.5,0.5
