auroc,prauc,bacc,f1_pos,acc,thr,prev,tp,fp,tn,fn,model,train_dataset,test_dataset,n_train,n_test,scaling_mode,best_params
0.5797101449275363,0.6697989301016684,0.536231884057971,0.68,0.5789473684210527,0.3300203799764405,0.6052631578947368,17,10,5,6,logreg,MMASD,Engagnition,1374,38,per_dataset,"{""clf__C"": 0.2848035868435802}"
0.6259586145516576,0.6093481756528374,0.575172969135737,0.6592244418331374,0.5778748180494906,0.4659442021134187,0.5058224163027657,561,446,233,134,logreg,Engagnition,MMASD,38,1374,per_dataset,"{""clf__C"": 0.01}"
0.7449275362318841,0.8230070593454833,0.6681159420289855,0.7843137254901961,0.7105263157894737,0.2630154008395744,0.6052631578947368,20,8,7,3,xgb,MMASD,Engagnition,1374,38,per_dataset,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.03, ""colsample_bytree"": 0.75}"
0.6628103113974211,0.6412886857840019,0.5901791674171708,0.6778097982708934,0.5931586608442504,0.34347620606422424,0.5058224163027657,588,452,227,107,xgb,Engagnition,MMASD,38,1374,per_dataset,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""n_estimators"": 900, ""min_child_weight"": 3, ""max_depth"": 4, ""learning_rate"": 0.1, ""colsample_bytree"": 0.75}"
