task,dataset,model,split,n_train,n_test,thr,cv_auroc,cv_bacc,cv_f1_pos,cv_acc,cv_brier,test_auroc,test_bacc,test_f1_pos,test_acc,test_brier,test_auroc_ci_low,test_auroc_ci_high
IID,MMASD,logreg,holdout,1232,142,0.319584272,0.695913623,0.61068984,0.694871795,0.613636364,0.222012345,0.634027778,0.552380952,0.655737705,0.556338028,0.241299824,0.57605042,0.744047619
IID,MMASD,xgb,holdout,1232,142,0.363490669,0.740243327,0.641740927,0.715214564,0.644480519,0.207241954,0.704166667,0.657936508,0.739130435,0.661971831,0.218955932,0.680620155,0.776190476
IID,Engagnition,logreg,cv,57,0,0.245024068,0.637315271,0.414408867,0.582278481,0.421052632,0.276557438,,,,,,,
IID,Engagnition,xgb,cv,57,0,0.508390546,0.320812808,0.349137931,0.412698413,0.350877193,0.265407227,,,,,,,
LODO,MMASD->Engagnition,logreg,transfer,1374,57,0.327425496,0.678762675,0.574722667,0.685497012,0.57860262,0.227932329,0.5,0.5,0.674418605,0.50877193,0.250059058,0.5,0.5
LODO,MMASD->Engagnition,xgb,transfer,1374,57,0.365780382,0.728377534,0.660287558,0.713933416,0.662299854,0.210589617,0.472906404,0.5,0.674418605,0.50877193,0.331560764,0.394285142,0.54063813
LODO,Engagnition->MMASD,logreg,transfer,57,142,0.245024068,0.637315271,0.414408867,0.582278481,0.421052632,0.276557438,0.5,0.5,0.672897196,0.507042254,0.280125196,0.5,0.5
LODO,Engagnition->MMASD,xgb,transfer,57,142,0.508390546,0.320812808,0.349137931,0.412698413,0.350877193,0.265407227,0.5,0.5,0.672897196,0.507042254,0.249953399,0.5,0.5
