task,dataset,model,split,n_train,n_test,thr,cv_auroc,cv_bacc,cv_f1_pos,cv_acc,cv_brier,test_auroc,test_bacc,test_f1_pos,test_acc,test_brier,test_auroc_ci_low,test_auroc_ci_high
IID,MMASD,logreg,holdout,1232,142,0.3195842724858306,0.6959136231013133,0.6106898396708548,0.6948717948717948,0.6136363636363636,0.2220123445247548,0.6340277777777779,0.5523809523809524,0.6557377049180327,0.5563380281690141,0.24129982350154783,0.5760504201680672,0.7440476190476191
IID,MMASD,xgb,holdout,1232,142,0.3634906688028787,0.7402433270867432,0.6417409272891644,0.7152145643693107,0.6444805194805194,0.2072419542191249,0.7041666666666667,0.6579365079365079,0.7391304347826086,0.6619718309859155,0.21895593207121702,0.6806201550387597,0.7761904761904763
IID,Engagnition,logreg,cv,57,0,0.24502406814257865,0.6373152709359605,0.4144088669950739,0.5822784810126582,0.42105263157894735,0.276557437748184,,,,,,,
IID,Engagnition,xgb,cv,57,0,0.5083905458450317,0.32081280788177335,0.34913793103448276,0.4126984126984127,0.3508771929824561,0.26540722650091314,,,,,,,
