task,dataset,model,split,n_train,n_test,thr,cv_auroc,cv_bacc,cv_f1_pos,cv_acc,cv_brier,test_auroc,test_bacc,test_f1_pos,test_acc,test_brier,test_auroc_ci_low,test_auroc_ci_high
LODO,MMASD->Engagnition,logreg,transfer,1374,57,0.32742549571749574,0.6787626746908806,0.5747226666384124,0.6854970124932103,0.5786026200873362,0.2279323294938356,0.5,0.5,0.6744186046511628,0.5087719298245614,0.250059057899016,0.5,0.5
LODO,MMASD->Engagnition,xgb,transfer,1374,57,0.36578038247282535,0.728377533613757,0.6602875578771151,0.7139334155363748,0.6622998544395924,0.2105896165707802,0.4729064039408867,0.5,0.6744186046511628,0.5087719298245614,0.33156076424304926,0.39428514194139197,0.5406381302521008
LODO,Engagnition->MMASD,logreg,transfer,57,142,0.24502406814257865,0.6373152709359605,0.4144088669950739,0.5822784810126582,0.42105263157894735,0.276557437748184,0.5,0.5,0.6728971962616822,0.5070422535211268,0.2801251956181534,0.5,0.5
LODO,Engagnition->MMASD,xgb,transfer,57,142,0.5083905458450317,0.32081280788177335,0.34913793103448276,0.4126984126984127,0.3508771929824561,0.26540722650091314,0.5,0.5,0.6728971962616822,0.5070422535211268,0.24995339853589527,0.5,0.5
